"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x980287654888603649",2018-04-01 03:36:04,"x826133244823367686","Phoenix_Firez","RT @tonyposnanski: This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shoot…","Twitter for Android",,,,FALSE,TRUE,0,3391,,,,,,,,,,,,,,"x17642747","tonyposnanski","en",,,"x980217128618885120","This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shooting...

I once again want to commend Melania Trump on her amazing Anti- Cyber Bulling campaign...

HELLUVA JOB FLOTUS!",,,,,,,,,
"x980287651470127105",2018-04-01 03:36:03,"x286342886","SandraResists","@LeonidasBowman @Mikel_Jollett what don;t you understand about the fact he is targeting David Hogg? An adult is targeting a child. a victim of a mass shooting. Tell me, are all trump supporters born without empathy? Or did you lose it after supporting trump?","Twitter Web Client","x980286982030004225","x500043123","LeonidasBowman",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x500043123 594175899","LeonidasBowman Mikel_Jollett","en",,,,,,,,,,,,,
"x980287648383184896",2018-04-01 03:36:02,"x2589187340","83Colorscheme","RT @CBSNews: Sacramento mayor: ""Implied racism"" an ""undeniable factor"" in police shootings https://t.co/gvCcHBazBG https://t.co/tmtFVzEKTK","Twitter for Android",,,,FALSE,TRUE,0,134,,,"cbsn.ws/2pZQ9OL","https://t.co/gvCcHBazBG","https://cbsn.ws/2pZQ9OL","http://pbs.twimg.com/media/DZqtvSfVAAAvg62.jpg","https://t.co/tmtFVzEKTK","https://twitter.com/CBSNews/status/980286898534080512/photo/1","photo","http://pbs.twimg.com/media/DZqtvSfVAAAvg62.jpg","https://t.co/tmtFVzEKTK","https://twitter.com/CBSNews/status/980286898534080512/photo/1",,"x15012486","CBSNews","en",,,"x980286898534080512","Sacramento mayor: ""Implied racism"" an ""undeniable factor"" in police shootings https://t.co/gvCcHBazBG https://t.co/tmtFVzEKTK",,,,,,,,,
"x980287645380218880",2018-04-01 03:36:02,"x3003957332","kathleen_online","RT @LauraLoomer: Nearly 750 hours of video and 2,000 calls to 911 in Vegas shooting. Almost all of it remains unseen and unheard. #LasVegas…","Twitter for Android",,,,FALSE,TRUE,0,292,,,,,,,,,,,,,,"x537709549","LauraLoomer","en",,,"x980279949562122240","Nearly 750 hours of video and 2,000 calls to 911 in Vegas shooting. Almost all of it remains unseen and unheard. #LasVegasShooting 

https://t.co/ihIypbeJ1k",,,,,,,,,
"x980287643240951808",2018-04-01 03:36:01,"x887183823934341120","DebbieC50234788","RT @tonyposnanski: This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shoot…","Twitter for iPhone",,,,FALSE,TRUE,0,3391,,,,,,,,,,,,,,"x17642747","tonyposnanski","en",,,"x980217128618885120","This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shooting...

I once again want to commend Melania Trump on her amazing Anti- Cyber Bulling campaign...

HELLUVA JOB FLOTUS!",,,,,,,,,
"x980287637633331201",2018-04-01 03:36:00,"x2287270857","AilesRebecca","RT @tonyposnanski: This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shoot…","Twitter for Android",,,,FALSE,TRUE,0,3391,,,,,,,,,,,,,,"x17642747","tonyposnanski","en",,,"x980217128618885120","This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shooting...

I once again want to commend Melania Trump on her amazing Anti- Cyber Bulling campaign...

HELLUVA JOB FLOTUS!",,,,,,,,,
"x980287634508574720",2018-04-01 03:35:59,"x4090181819","riqcasa","RT @tonyposnanski: This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shoot…","Twitter for iPhone",,,,FALSE,TRUE,0,3391,,,,,,,,,,,,,,"x17642747","tonyposnanski","en",,,"x980217128618885120","This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shooting...

I once again want to commend Melania Trump on her amazing Anti- Cyber Bulling campaign...

HELLUVA JOB FLOTUS!",,,,,,,,,
"x980287633325772800",2018-04-01 03:35:59,"x1220112643","CoachSerath","Hey @NovaMBB, how many shooting machines (Dr. DISH or Gun) do you guys have? Asking for a friend.","Twitter for Android",,,,FALSE,FALSE,3,0,,,,,,,,,,,,,,"x1581277519","NovaMBB","en",,,,,,,,,,,,,
"x980287630167498754",2018-04-01 03:35:58,"x4828346811","rafaelvelez311","RT @KayaJones: This whole school shooting is giving the vibe of a movie. Can anyone say  manchurian candidate","Twitter for iPad",,,,FALSE,TRUE,0,56,,,,,,,,,,,,,,"x32626129","KayaJones","en",,,"x980286577485127681","This whole school shooting is giving the vibe of a movie. Can anyone say  manchurian candidate",,,,,,,,,
"x980287628900630529",2018-04-01 03:35:58,"x370956453","PoliticAlBor","Could it be that @Super_Beets is ok with @LarryElder defending a person like @IngrahamAngle that bullies kids that happen to be school shooting survivors?","Twitter Web Client",,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,"x3060027042 195271137 50769180","Super_Beets larryelder IngrahamAngle","en",,,,,,,,,,,,,
"x980287628418473985",2018-04-01 03:35:58,"x38507177","drrickwiner","If #Nova's 18-40 3-point shooting wasn't enough, Wildcats ended up 18-25 for 72% of their 2-point FGs #FinalFour Still a great run for #KUbball","Twitter Web Client",,,,FALSE,FALSE,0,0,"Nova FinalFour KUbball",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x980287627059449856",2018-04-01 03:35:57,"x4650251661","sherlynvin22","RT @tonyposnanski: This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shoot…","Twitter for iPhone",,,,FALSE,TRUE,0,3391,,,,,,,,,,,,,,"x17642747","tonyposnanski","en",,,"x980217128618885120","This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shooting...

I once again want to commend Melania Trump on her amazing Anti- Cyber Bulling campaign...

HELLUVA JOB FLOTUS!",,,,,,,,,
"x980287626283487232",2018-04-01 03:35:57,"x3543873798","ThomasW04950025","@bbusa617 If I was thinking about shooting up the school I think I’d pick another one!","Twitter for iPhone","x979798068148269056","x1674315427","bbusa617",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x1674315427","bbusa617","en",,,,,"https://api.twitter.com/1.1/geo/id/2f9b748cc6822f3e.json","Potosi","Potosi, MO","city","United States","US",,,"-90.800234 -90.725462 -90.725462 -90.800234 37.913276 37.913276 37.95386 37.95386"
"x980287625444634625",2018-04-01 03:35:57,"x23882520","TheEverydayBite","@mitchellvii When you have to name call a 17 year old survivor of a school shooting, you’re losing. Also, you look like Frankenstein mated with the eraser end of a pencil.","Twitter for iPhone","x980230334280331264","x17980523","mitchellvii",FALSE,FALSE,3,0,,,,,,,,,,,,,,"x17980523","mitchellvii","en",,,,,,,,,,,,,
"x980287623234236416",2018-04-01 03:35:56,"x198913958","JRMoockjr","RT @DrGraceBarstow: One reason that domestic violence is a better indicator for mass shooting than mental illness is that the vast majority…","Twitter for iPhone",,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,"x970057231562665984","DrGraceBarstow","en",,,"x970161618628816896","One reason that domestic violence is a better indicator for mass shooting than mental illness is that the vast majority of mentally ill people never hurt anyone, but literally all perpetrators of domestic violence do. https://t.co/TO4Fv983lf",,,,,,,,,
"x980287619958386688",2018-04-01 03:35:56,"x192243086","debratrump1","RT @RodStryker: @ThomasMHern We need to give a platform to the conservative Parkland shooting survivors.

@KyleKashuv is working with Congr…","Mobile Web (M2)",,,,FALSE,TRUE,0,410,,,,,,,,,,,,,,"x58007320 3294258552 862493306382626818","RodStryker ThomasMHern KyleKashuv","en",,,"x980214663764901888","@ThomasMHern We need to give a platform to the conservative Parkland shooting survivors.

@KyleKashuv is working with Congress on school safety laws.
#StopSchoolViolenceAct was funded in Omnibus Bill.

@PollackHunter's sister Meadow was killed in Parkland.

<f0><U+009F><U+0091><U+0087>Speech<f0><U+009F><U+0091><U+008F>
https://t.co/h26kGXeDfo",,,,,,,,,
"x980287614191394817",2018-04-01 03:35:54,"x239908139","EShepardJr","@krisvelasco8 Naw. Nothing anybody could have done with a team shooting like that.","Twitter for iPhone","x980286441308803073","x110019610","krisvelasco8",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x110019610","krisvelasco8","en",,,,,,,,,,,,,
"x980287608986062849",2018-04-01 03:35:53,"x717360080232906752","1speedloader","RT @thetylertrump: When you ask Nathan to draw targets at the shooting range...
.
.
#guns #ar15 #targets #squirrels… https://t.co/zNMR0UQlbC","Twitter Web Client",,,,FALSE,TRUE,0,1,"guns ar15 targets squirrels",,"instagram.com/p/Bg_6GA0hO8X/","https://t.co/zNMR0UQlbC","https://www.instagram.com/p/Bg_6GA0hO8X/",,,,,,,,,"x2485228946","thetylertrump","en",,,"x980157963934552065","When you ask Nathan to draw targets at the shooting range...
.
.
#guns #ar15 #targets #squirrels… https://t.co/zNMR0UQlbC",,,,,,,,,
"x980287604833701888",2018-04-01 03:35:52,"x2384085541","49haltig","RT @RodStryker: Andrew &amp; Hunter Pollack have been diligently working to make sure our schools are safe, so no other families lose their chi…","Twitter Web Client",,,,FALSE,TRUE,0,817,,,,,,,,,,,,,,"x58007320","RodStryker","en",,,"x979958073350598656","Andrew &amp; Hunter Pollack have been diligently working to make sure our schools are safe, so no other families lose their child/sibling in a school shooting again. <f0><U+009F><U+0091><U+008A>@PollackHunter

Meadow Pollack was one of the 17 Parkland victims.
https://t.co/zXvhXL6hHV

https://t.co/o2j9C166TS",,,,,,,,,
"x980287602891870209",2018-04-01 03:35:52,"x2316341156","randybrucemoney","RT @tonyposnanski: This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shoot…","Twitter Web Client",,,,FALSE,TRUE,0,3391,,,,,,,,,,,,,,"x17642747","tonyposnanski","en",,,"x980217128618885120","This week with Laura Ingraham, Ted Nugent, and Frank Stallone attacking a teenager on Twitter, who survived a mass shooting...

I once again want to commend Melania Trump on her amazing Anti- Cyber Bulling campaign...

HELLUVA JOB FLOTUS!",,,,,,,,,
"x980287599439949825",2018-04-01 03:35:51,"x971587440405336068","CivilLibertie15","RT @KyleKashuv: Pretty good article covering the hypocrisy of @MaxFawcett https://t.co/ab2jCCAIkO","Twitter for Android",,,,FALSE,TRUE,0,282,,,"dangerous.com/43107/canadian…","https://t.co/ab2jCCAIkO","https://www.dangerous.com/43107/canadian-govt-employee-max-fawcett-attacks-school-shooting-survivor-kyle-kashuv-cuckservative/",,,,,,,,,"x862493306382626818 19657809","KyleKashuv maxfawcett","en",,,"x980193154421968903","Pretty good article covering the hypocrisy of @MaxFawcett https://t.co/ab2jCCAIkO",,,,,,,,,
