word,occurrence
gun,laws
gun,legislation
gun,less
gun,lobby
gun,lobbying
gun,lobbyists
gun,maker
gun,makers
gun,making
gun,manufacturers
gun,measures
gun,officers
gun,one
gun,outside
gun,owner
gun,owners
gun,ownership
gun,owning
gun,pants
gun,parkland
gun,pocket
gun,pointed
gun,public
gun,purchase
gun,purchases
gun,raids
gun,rallies
gun,rampage
gun,range
gun,react
gun,recovered
gun,reform
gun,refused
gun,regulation
gun,regulations
gun,related
gun,reloads
gun,restriction
gun,restrictions
gun,retailers
gun,rights
gun,rollins
gun,safety
gun,said
gun,sales
gun,scene
gun,second
gun,self
gun,sellers
gun,shot
gun,shots
gun,shows
gun,sign
gun,sneakers
gun,spree
gun,sterling
gun,store
gun,stroller
gun,stronghold
gun,subtle
gun,threatened
gun,threatening
gun,three
gun,time
gun,turned
gun,twice
gun,two
gun,used
gun,vehicle
gun,violence
gun,waist
gun,waistband
gun,walmart
gun,watched
gun,well
gun,worked
gun,years
killed,abuse
killed,added
killed,airstrike
killed,along
killed,alton
killed,american
killed,amjad
killed,another
killed,attack
killed,attacker
killed,backyard
killed,black
killed,blast
killed,captured
killed,children
killed,church
killed,civilians
killed,conflict
killed,could
killed,december
killed,dog
killed,dozens
killed,duty
killed,exchange
killed,explosion
killed,feb
killed,fighting
killed,firefight
killed,first
killed,five
killed,four
killed,fourth
killed,getting
killed,gun
killed,hundreds
killed,hurt
killed,improved
killed,improvised
killed,including
killed,law
killed,least
killed,longtime
killed,march
killed,mccrae
killed,minnesota
killed,monday
killed,mullah
killed,never
killed,nightclub
killed,nine
killed,one
killed,operation
killed,others
killed,people
killed,police
killed,provincial
killed,regularly
killed,religious
killed,rest
killed,sacramento
killed,said
killed,sandy
killed,school
killed,service
killed,shabab
killed,sheriff
killed,shooting
killed,six
killed,south
killed,spurred
killed,staged
killed,state
killed,sterling
killed,stoneman
killed,stray
killed,strike
killed,struggle
killed,students
killed,suicide
killed,suspect
killed,three
killed,thursday
killed,traditional
killed,truck
killed,two
killed,use
killed,ventured
killed,village
killed,wednesday
killed,whether
killed,white
killed,wife
killed,woman
killed,wounded
killed,year
killed,young
officers,accused
officers,actions
officers,advancing
officers,afforded
officers,alleges
officers,also
officers,alton
officers,arrived
officers,association
officers,australia
officers,avoid
officers,backyard
officers,baton
officers,began
officers,believed
officers,black
officers,blane
officers,body
officers,broke
officers,california
officers,call
officers,called
officers,cameras
officers,campus
officers,campuses
officers,carlos
officers,casually
officers,center
officers,charged
officers,chase
officers,city
officers,civil
officers,clements
officers,come
officers,command
officers,commands
officers,confronted
officers,continue
officers,contributed
officers,corner
officers,country
officers,dashboard
officers,deadly
officers,decision
officers,deputy
officers,determined
officers,done
officers,driving
officers,early
officers,east
officers,encountered
officers,engaged
officers,ensured
officers,everywhere
officers,examined
officers,expected
officers,extending
officers,families
officers,fatal
officers,federal
officers,fired
officers,first
officers,flashlights
officers,followed
officers,found
officers,friday
officers,future
officers,gardena
officers,gathered
officers,get
officers,handle
officers,holding
officers,hurting
officers,illegal
officers,incident
officers,inconsistent
officers,incorrectly
officers,initially
officers,injured
officers,interviewed
officers,investigating
officers,involved
officers,juanita
officers,july
officers,killed
officers,knocked
officers,language
officers,lawyers
officers,less
officers,lobby
officers,located
officers,looked
officers,los
officers,louisiana
officers,made
officers,man
officers,meaning
officers,menacing
officers,mile
officers,minutes
officers,moving
officers,muted
officers,nearly
officers,numerous
officers,officer
officers,omalu
officers,opened
officers,ordered
officers,outside
officers,particularly
officers,passenger
officers,peeking
officers,placed
officers,plan
officers,playing
officers,position
officers,prompting
officers,prosecuted
officers,public
officers,pulled
officers,pulling
officers,railing
officers,raised
officers,rarely
officers,received
officers,recovered
officers,remained
officers,remove
officers,removing
officers,reported
officers,represented
officers,responded
officers,responding
officers,returned
officers,returning
officers,running
officers,sacramento
officers,said
officers,salamoni
officers,sat
officers,saw
officers,says
officers,scene
officers,seen
officers,serving
officers,shoot
officers,shooting
officers,shootout
officers,shot
officers,shouted
officers,since
officers,six
officers,south
officers,spotted
officers,start
officers,state
officers,stopped
officers,targets
officers,thought
officers,three
officers,told
officers,toward
officers,trained
officers,turned
officers,underneath
officers,united
officers,used
officers,waded
